codigo,nome,pais,decolagens,meses_com_servico,meses_lista
MMMX,MEXICO,MÉXICO,727,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
SKBO,BOGOTÁ,COLÔMBIA,3602,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
SAAR,"ROSARIO, SANTA FE PROVINCE",ARGENTINA,434,10,2025-07;2025-08;2025-09;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
SABE,BUENOS AIRES,ARGENTINA,10676,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
SACO,"CÓRDOBA, CÓRDOBA PROVINCE",ARGENTINA,1143,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
SASA,"SALTA, SALTA PROVINCE",ARGENTINA,30,5,2025-07;2025-08;2025-09;2026-01;2026-02
SAZS,"SAN CARLOS DE BARILOCHE, RÍO NEGRO PROVINCE",ARGENTINA,242,4,2025-07;2025-08;2025-09;2026-06
LIRF,ROME,ITÁLIA,1339,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
MTCH,CAP-HAÏTIEN,HAITI,1,1,2025-10
SKBG,LEBRIJA (NEAR BUCARAMANGA),COLÔMBIA,1,1,2025-10
SKCC,CÚCUTA,COLÔMBIA,1,1,2025-10
SKCL,CALI,COLÔMBIA,3,2,2025-10;2026-04
KFLL,"FORT LAUDERDALE/HOLLYWOOD, FLORIDA",ESTADOS UNIDOS DA AMÉRICA,542,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
KMCO,"ORLANDO, FLORIDA",ESTADOS UNIDOS DA AMÉRICA,1692,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
LFPO,ORLY (NEAR PARIS),FRANÇA,117,4,2025-07;2025-08;2025-09;2025-10
LPPR,PORTO,PORTUGAL,548,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
SAME,"MENDOZA, MENDOZA PROVINCE",ARGENTINA,710,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
SULS,"MALDONADO/PUNTA DEL ESTE, MALDONADO",URUGUAI,143,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
SUMU,"MONTEVIDEO, MONTEVIDEO",URUGUAI,3438,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
TNCC,WILLEMSTAD,CURAÇAO,102,6,2025-07;2025-08;2025-09;2025-12;2026-01;2026-02
GVAC,ILHA DO SAL,CABO VERDE,11,5,2025-11;2026-02;2026-04;2026-05;2026-06
EGLL,"LONDON, ENGLAND",REINO UNIDO,1087,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
SLVR,SANTA CRUZ,BOLÍVIA,859,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
ZBAA,BEIJING,CHINA,159,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
MPTO,PANAMA,PANAMÁ,4543,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
SYCJ,GEORGETOWN,GUIANA,4,3,2025-10;2026-05;2026-06
KATL,ATLANTA,ESTADOS UNIDOS DA AMÉRICA,859,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
EDDF,FRANKFURT AM MAIN,ALEMANHA,957,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
