municipio_id,uf_codigo,periodo_censo,periodo_corrente,rdpc_censo_municipio_reais_mes,rdpc_censo_uf_reais_mes,rdpc_pnad_uf_reais_mes,populacao_estimada_pessoas,rdpc_est_reais_mes,massa_renda_reais_mes
1301209,13,2022,2025,580.54,979.58,1425.0,73576.0,844.5144858000366,62135997.80722349
1301308,13,2022,2025,586.95,979.58,1425.0,24572.0,853.8391453480064,20980535.47949121
1301407,13,2022,2025,588.49,979.58,1425.0,35793.0,856.0793911676432,30641649.64806345
1301506,13,2022,2025,579.21,979.58,1425.0,17985.0,842.5797280467139,15153796.408920148
1301605,13,2022,2025,638.8,979.58,1425.0,28227.0,929.2656036260437,26230380.193552334
1301654,13,2022,2025,596.23,979.58,1425.0,14344.0,867.3388084689357,12441107.868678413
1301704,13,2022,2025,871.32,979.58,1425.0,63454.0,1267.5136282896751,80428809.76949304
1301803,13,2022,2025,508.99,979.58,1425.0,25629.0,740.4303374915779,18976489.119571652
1301852,13,2022,2025,805.81,979.58,1425.0,68862.0,1172.2158986504419,80721131.21286672
1301902,13,2022,2025,734.27,979.58,1425.0,113917.0,1068.14629739276,121680021.76009105
1301951,13,2022,2025,525.38,979.58,1425.0,11956.0,764.2729537148573,9137647.434614833
1302009,13,2022,2025,687.95,979.58,1425.0,10955.0,1000.7643581943282,10963373.544018866
1302108,13,2022,2025,823.6,979.58,1425.0,9420.0,1198.0951019824822,11286055.860674983
1302207,13,2022,2025,516.57,979.58,1425.0,11093.0,751.4570019804407,8335912.522969029
1302306,13,2022,2025,566.68,979.58,1425.0,28202.0,824.3522734233038,23248382.815084014
1302405,13,2022,2025,618.0,979.58,1425.0,49469.0,899.0077380101675,44473013.79162498
1302504,13,2022,2025,680.39,979.58,1425.0,111751.0,989.7667878070193,110607428.30422221
1302553,13,2022,2025,568.36,979.58,1425.0,16211.0,826.7961779538168,13403192.840809325
1302603,13,2022,2025,1284.7,979.58,1425.0,2303732.0,1868.8596133036608,4305351694.675269
1302702,13,2022,2025,701.45,979.58,1425.0,58018.0,1020.402876743094,59201734.10288083
1302801,13,2022,2025,518.13,979.58,1425.0,15815.0,753.7263419016314,11920182.0971743
1302900,13,2022,2025,488.47,979.58,1425.0,66336.0,710.579789297454,47137020.902835906
1303007,13,2022,2025,539.62,979.58,1425.0,21251.0,784.987954021111,16681779.01090263
1303106,13,2022,2025,537.7,979.58,1425.0,28123.0,782.1949202719533,21997667.74280814
1303205,13,2022,2025,700.88,979.58,1425.0,16562.0,1019.5736948488128,16886179.534086037
1303304,13,2022,2025,630.53,979.58,1425.0,25325.0,917.2351926335776,23228981.253445353
1303403,13,2022,2025,796.66,979.58,1425.0,101855.0,1158.9053471896118,118040304.13799791
1303502,13,2022,2025,454.55,979.58,1425.0,20229.0,661.2361930623329,13376146.949457932
1303536,13,2022,2025,976.41,979.58,1425.0,33291.0,1420.3885849037342,47286156.380030215
1303569,13,2022,2025,801.1,979.58,1425.0,25364.0,1165.3642377345393,29558298.525898855
1303601,13,2022,2025,448.85,979.58,1425.0,13947.0,652.9443741195206,9106615.185844954
1303700,13,2022,2025,489.41,979.58,1425.0,30679.0,711.9472120704792,21841828.51911023
1303809,13,2022,2025,577.82,979.58,1425.0,57396.0,840.5576879887299,48244649.05980114
1303908,13,2022,2025,396.95,979.58,1425.0,35442.0,577.4451805875988,20465812.090385675
1303957,13,2022,2025,657.76,979.58,1425.0,12338.0,956.8468118989771,11805575.96520958
1304005,13,2022,2025,559.89,979.58,1425.0,12619.0,814.4748259458134,10277857.828610219
1304062,13,2022,2025,669.6,979.58,1425.0,73348.0,974.0705200187836,71446124.50233774
1304104,13,2022,2025,541.23,979.58,1425.0,20728.0,787.330029196186,16319776.845178545
1304203,13,2022,2025,767.14,979.58,1425.0,80137.0,1115.9624532963105,89429883.11980644
1304237,13,2022,2025,432.01,979.58,1425.0,20257.0,628.4471406112824,12730453.727362748
1304260,13,2022,2025,516.14,979.58,1425.0,15640.0,750.8314787970354,11743004.328385634
1304302,13,2022,2025,690.49,979.58,1425.0,19617.0,1004.4593090916514,19704478.266450927
1304401,13,2022,2025,629.39,979.58,1425.0,25965.0,915.5768288450151,23772952.36096082
1400027,14,2022,2025,493.7,1142.41,1808.0,16112.0,781.3390989224533,12588935.561838567
1400050,14,2022,2025,467.63,1142.41,1808.0,23589.0,740.0802163846604,17457752.224297754
1400100,14,2022,2025,1399.0,1142.41,1808.0,485477.0,2214.084260466908,1074886984.518693
1400159,14,2022,2025,583.73,1142.41,1808.0,15570.0,923.822305477018,14383913.29627717
1400175,14,2022,2025,787.97,1142.41,1808.0,21102.0,1247.0564508363898,26315385.225549497
1400209,14,2022,2025,714.44,1142.41,1808.0,22750.0,1130.6864610778966,25723116.989522148
1400233,14,2022,2025,917.6,1142.41,1808.0,12004.0,1452.2113777015256,17432345.377929114
1400282,14,2022,2025,781.65,1142.41,1808.0,10937.0,1237.0542974938944,13529662.851690723
1400308,14,2022,2025,809.57,1142.41,1808.0,20006.0,1281.2410255512468,25632507.957178243
1400407,14,2022,2025,486.61,1142.41,1808.0,16323.0,770.1183287961414,12570641.480939416
1400456,14,2022,2025,578.04,1142.41,1808.0,23112.0,914.8172022303726,21143255.17794837
1400472,14,2022,2025,831.4,1142.41,1808.0,37787.0,1315.7896026820492,49719741.716546595
1400506,14,2022,2025,895.8,1142.41,1808.0,9969.0,1417.710279146716,14133153.77281361
1400605,14,2022,2025,827.26,1142.41,1808.0,7848.0,1309.237559195035,10274896.364562634
1400704,14,2022,2025,288.65,1142.41,1808.0,16186.0,456.8230320112744,7394137.596134488
1500107,15,2022,2025,771.33,994.0,1472.0,172344.0,1142.251267605634,196860152.46422538
1500131,15,2022,2025,923.2,994.0,1472.0,6275.0,1367.1533199195171,8578887.08249497
1500206,15,2022,2025,505.33,994.0,1472.0,63110.0,748.3357746478873,47227470.73802817
1500305,15,2022,2025,476.09,994.0,1472.0,40473.0,705.0346881287726,28534868.932635814
1500347,15,2022,2025,936.7,994.0,1472.0,17596.0,1387.1452716297788,24408208.199597586
1500404,15,2022,2025,562.3,994.0,1472.0,75882.0,832.7018108651912,63187078.81207244
1500503,15,2022,2025,773.03,994.0,1472.0,36442.0,1144.768772635815,41717663.61239437
1500602,15,2022,2025,1245.26,994.0,1472.0,138749.0,1844.0872434607645,255865260.9429376
1500701,15,2022,2025,524.25,994.0,1472.0,30247.0,776.3541247484909,23482383.211267605
1500800,15,2022,2025,1219.88,994.0,1472.0,509227.0,1806.502374245473,919919784.5298995
1500859,15,2022,2025,765.01,994.0,1472.0,35638.0,1132.8920724346076,40374007.67742454
1500909,15,2022,2025,479.94,994.0,1472.0,47912.0,710.7360965794769,34052787.859315895
1500958,15,2022,2025,574.32,994.0,1472.0,24193.0,850.5020523138834,20576196.15162978
1501006,15,2022,2025,477.87,994.0,1472.0,19380.0,707.6706639839034,13714657.468008049
1501105,15,2022,2025,358.65,994.0,1472.0,35147.0,531.1195171026156,18667257.66760563
1501204,15,2022,2025,460.65,994.0,1472.0,56850.0,682.1698189134809,38781354.20523139
1501253,15,2022,2025,995.23,994.0,1472.0,4290.0,1473.8214889336016,6322694.18752515
1501303,15,2022,2025,975.54,994.0,1472.0,139076.0,1444.662857142857,200917931.51999998
1501402,15,2022,2025,1668.52,994.0,1472.0,1397315.0,2470.88676056338,3452607133.8366194
1501451,15,2022,2025,741.15,994.0,1472.0,19075.0,1097.55814889336,20935921.690140843
1501501,15,2022,2025,818.99,994.0,1472.0,68962.0,1212.8302615694165,83639200.4983501
1501576,15,2022,2025,947.99,994.0,1472.0,19129.0,1403.8644668008048,26854523.385432597
1501600,15,2022,2025,739.25,994.0,1472.0,12961.0,1094.7444668008047,14188983.03420523
1501709,15,2022,2025,810.48,994.0,1472.0,132489.0,1200.2279275653923,159016997.89521125
1501725,15,2022,2025,763.34,994.0,1472.0,27130.0,1130.418993963783,30668267.30623743
1501758,15,2022,2025,766.2,994.0,1472.0,6966.0,1134.6543259557345,7904002.034607647
1501782,15,2022,2025,725.32,994.0,1472.0,47066.0,1074.1157344064386,50554331.15557344
1501808,15,2022,2025,606.08,994.0,1472.0,116058.0,897.5349698189136,104166113.52724348
1501907,15,2022,2025,526.09,994.0,1472.0,25065.0,779.0789537223341,19527613.975050304
1501956,15,2022,2025,564.23,994.0,1472.0,19223.0,835.5599195171026,16061968.332877263
1502004,15,2022,2025,488.54,994.0,1472.0,25467.0,723.4717102615695,18424654.04523139
1502103,15,2022,2025,597.9,994.0,1472.0,144859.0,885.4213279678067,128261248.14808851
1502152,15,2022,2025,1364.4,994.0,1472.0,89524.0,2020.5199195171026,180885025.2748491
1502202,15,2022,2025,966.47,994.0,1472.0,75309.0,1431.231227364185,107784592.50156942
1502301,15,2022,2025,704.58,994.0,1472.0,60318.0,1043.4021730382294,62935932.27331992
1502400,15,2022,2025,1055.05,994.0,1472.0,209126.0,1562.4080482897382,326740145.5066398
1502509,15,2022,2025,584.29,994.0,1472.0,21501.0,865.2664788732394,18604094.56225352
1502608,15,2022,2025,655.87,994.0,1472.0,13625.0,971.268249496982,13233529.899396379
1502707,15,2022,2025,1032.8,994.0,1472.0,47144.0,1529.4583501006036,72104784.45714286
1502756,15,2022,2025,699.98,994.0,1472.0,28270.0,1036.5901006036217,29304402.144064385
1502764,15,2022,2025,1007.72,994.0,1472.0,15150.0,1492.3177464788732,22608613.85915493
1502772,15,2022,2025,1036.35,994.0,1472.0,20975.0,1534.7154929577464,32190657.46478873
1502806,15,2022,2025,472.98,994.0,1472.0,36814.0,700.4291348088532,25785598.168853123
1502855,15,2022,2025,556.04,994.0,1472.0,14954.0,823.4314688128771,12313594.184627764
1502905,15,2022,2025,614.45,994.0,1472.0,44880.0,909.9299798792758,40837657.4969819
1502939,15,2022,2025,782.32,994.0,1472.0,62823.0,1158.5261971830987,72782091.2856338
1502954,15,2022,2025,879.96,994.0,1472.0,29287.0,1303.1198390342051,38164470.72579476
1503002,15,2022,2025,594.92,994.0,1472.0,9167.0,881.0082897384304,8076202.992032192
1503044,15,2022,2025,831.86,994.0,1472.0,18595.0,1231.8892555331993,22906980.70663984
1503077,15,2022,2025,620.45,994.0,1472.0,25558.0,918.8152917505031,23483081.22655936
1503093,15,2022,2025,829.0,994.0,1472.0,26703.0,1227.6539235412474,32782042.72032193
1503101,15,2022,2025,634.91,994.0,1472.0,34137.0,940.228893360161,32096593.732635815
1503200,15,2022,2025,718.26,994.0,1472.0,37925.0,1063.6606841046278,40339331.44466801
1503309,15,2022,2025,617.29,994.0,1472.0,69446.0,914.1356941649899,63483067.41698189
1503408,15,2022,2025,631.7,994.0,1472.0,10784.0,935.4752515090543,10088165.11227364
1503457,15,2022,2025,594.25,994.0,1472.0,29264.0,880.0160965794769,25752791.050301813
